Region Name,City Name,School Name,School Score
York Region,Aurora,St Jerome,6.5
Peel Region,Mississauga,St Joseph,6.5
York Region,Woodbridge,St Margaret Mary,6.5
Peel Region,Brampton,St Maria Goretti,6.5
York Region,Newmarket,St Paul,6.5
Durham Region,Pickering,Vaughan Willard,6.5
Halton Region,Oakville,Abbey Lane,6.4
City of Toronto,Toronto,Birch Cliff,6.4
York Region,Thornhill,Brownridge,6.4
Durham Region,Whitby,Chris Hadfield,6.4
Durham Region,Oshawa,Corpus-Christi,6.4
City of Toronto,Toronto,Elizabeth Simcoe,6.4
York Region,Thornhill,German Mills,6.4
Durham Region,Whitby,Glen Dhu,6.4
Durham Region,Oshawa,John XXIII,6.4
Durham Region,Ajax,Lord Elgin,6.4
City of Toronto,Toronto,Mason Road,6.4
City of Toronto,Toronto,Pierre-Elliott-Trudeau,6.4
York Region,Markham,Reesor Park,6.4
Durham Region,Ajax,Roland Michener,6.4
Durham Region,Pickering,Rosebank Road,6.4
City of Toronto,Toronto,Roselands,6.4
Halton Region,Burlington,Ryerson,6.4
City of Toronto,Toronto,Saint-Noël-Chabanel,6.4
Peel Region,Brampton,Sir Isaac Brock,6.4
City of Toronto,Toronto,St Agnes,6.4
Peel Region,Mississauga,St Bernadette,6.4
Durham Region,Whitby,St Bernard,6.4
Durham Region,Oshawa,St Kateri Tekakwitha,6.4
City of Toronto,Toronto,St Leo,6.4
City of Toronto,Toronto,St Luigi,6.4
Peel Region,Mississauga,St Luke,6.4
Halton Region,Burlington,St Marks,6.4
York Region,Vaughan,St Mary of the Angels,6.4
Peel Region,Brampton,St Monica,6.4
Durham Region,Oshawa,Adelaide Mclaughlin,6.3
Durham Region,Ajax,Alexander Graham Bell,6.3
Peel Region,Mississauga,All Saints,6.3
Durham Region,Oshawa,Antonine Maillet,6.3
Peel Region,Mississauga,Canadian Martyrs,6.3
City of Toronto,Toronto,Cardinal Leger,6.3
Halton Region,Burlington,Clarksdale,6.3
City of Toronto,Toronto,Dublin Heights,6.3
Peel Region,Mississauga,Ellengale,6.3
York Region,Maple,Father John Kelly,6.3
City of Toronto,Toronto,Félix-Leclerc,6.3
York Region,Markham,Highgate,6.3
City of Toronto,Toronto,James S Bell,6.3
City of Toronto,Toronto,La Mosaïque,6.3
City of Toronto,Toronto,Lord Dufferin,6.3
Durham Region,Whitby,Ormiston,6.3
City of Toronto,Toronto,Pleasant,6.3
City of Toronto,Toronto,Poplar Road,6.3
Halton Region,Oakville,River Oaks,6.3
City of Toronto,Toronto,Rockford,6.3
City of Toronto,Toronto,Shirley Street,6.3
York Region,Stouffville,St Brendan,6.3
Durham Region,Oshawa,St Christopher,6.3
Durham Region,Ajax,St Francis de Sales,6.3
Halton Region,Burlington,St Gabriel,6.3
City of Toronto,Toronto,St Mark,6.3
City of Toronto,Toronto,St Paschal Baylon,6.3
York Region,Newmarket,Stonehaven,6.3
City of Toronto,Toronto,Warren Park,6.3
York Region,Markham,Armadale,6.2
York Region,Woodbridge,Blue Willow,6.2
City of Toronto,Toronto,Bruce,6.2
Durham Region,Oshawa,Coronation,6.2
Peel Region,Mississauga,Corpus Christi,6.2
Peel Region,Mississauga,Father Daniel Zanon,6.2
Halton Region,Burlington,Frontenac,6.2
City of Toronto,Toronto,Gabrielle-Roy,6.2
Halton Region,Milton,Holy Rosary,6.2
City of Toronto,Toronto,Ogden,6.2
Peel Region,Brampton,Our Lady of Peace,6.2
Halton Region,Oakville,Palermo,6.2
Durham Region,Oshawa,Pierre Elliott Trudeau,6.2
City of Toronto,Toronto,St Agatha,6.2
Peel Region,Brampton,St Bonaventure,6.2
City of Toronto,Toronto,St Dominic Savio,6.2
City of Toronto,Toronto,St Edmund Campion,6.2
City of Toronto,Toronto,St Florence,6.2
Durham Region,Pickering,St Monica,6.2
City of Toronto,Toronto,St Monica,6.2
City of Toronto,Toronto,St Nicholas,6.2
Peel Region,Brampton,St Stephen,6.2
York Region,Woodbridge,St Veronica,6.2
City of Toronto,Toronto,St. Andre,6.2
York Region,Thornhill,Bakersfield,6.1
Halton Region,Burlington,Central,6.1
Peel Region,Brampton,Father Francis McSpiritt,6.1
Peel Region,Mississauga,Floradale,6.1
City of Toronto,Toronto,George Peck,6.1
Durham Region,Oshawa,Harmony Heights,6.1
City of Toronto,Toronto,Heather Heights,6.1
Durham Region,Oshawa,Lakewoods,6.1
Peel Region,Brampton,Lester B Pearson,6.1
City of Toronto,Toronto,Mary Shadd,6.1
City of Toronto,Toronto,Pauline,6.1
Peel Region,Mississauga,Queen of Heaven,6.1
City of Toronto,Toronto,Rose Avenue,6.1
City of Toronto,Toronto,Second Street,6.1
City of Toronto,Toronto,Sprucecourt,6.1
Halton Region,Milton,St Anthony of Padua,6.1
Peel Region,Mississauga,St Faustina,6.1
City of Toronto,Toronto,St John Vianney,6.1
Durham Region,Whitby,St Marguerite d'Youville,6.1
City of Toronto,Toronto,St Maria Goretti,6.1
City of Toronto,Toronto,St Victor,6.1
City of Toronto,Toronto,Timberbank,6.1
City of Toronto,Toronto,Transfiguration of our Lord,6.1
Durham Region,Oshawa,Vincent Massey,6.1
City of Toronto,Toronto,Wexford,6.1
Peel Region,Brampton,Castle Oaks,6.0
Durham Region,Whitby,Dr Robert Thornton,6.0
City of Toronto,Toronto,Ellesmere-Statton,6.0
City of Toronto,Toronto,Gulfstream,6.0
Halton Region,Milton,Hawthorne Village,6.0
City of Toronto,Toronto,Holy Spirit,6.0
Peel Region,Mississauga,McBride Avenue,6.0
Peel Region,Mississauga,Metropolitan Andrei,6.0
Peel Region,Brampton,Mount Pleasant Village,6.0
Halton Region,Oakville,Patricia-Picknell,6.0
Halton Region,Burlington,Pauline Johnson,6.0
City of Toronto,Toronto,Saint-Michel,6.0
York Region,Woodbridge,San Marco,6.0
City of Toronto,Toronto,Scarborough Sud,6.0
Durham Region,Ajax,St Bernadette,6.0
Peel Region,Brampton,St. Alphonsa,6.0
City of Toronto,Toronto,Tom Longboat,6.0
Durham Region,Ajax,Applecroft,5.9
York Region,Newmarket,Armitage Village,5.9
City of Toronto,Toronto,Avondale,5.9
Peel Region,Brampton,Countryside Village,5.9
Durham Region,Oshawa,Dr C F Cannon,5.9
Durham Region,Ajax,Dr Roberta Bondar,5.9
City of Toronto,Toronto,Glen Park,5.9
City of Toronto,Toronto,Holy Child,5.9
York Region,Woodbridge,Immaculate Conception,5.9
City of Toronto,Toronto,Kew Beach,5.9
Peel Region,Mississauga,Le Flambeau,5.9
Durham Region,Oshawa,Mary Street Community,5.9
Peel Region,Mississauga,Miller's Grove,5.9
City of Toronto,Toronto,Our Lady of Lourdes,5.9
City of Toronto,Toronto,Rouge Valley,5.9
Peel Region,Brampton,St Joachim,5.9
City of Toronto,Toronto,St Margaret,5.9
City of Toronto,Toronto,St Maurice,5.9
City of Toronto,Toronto,St Rose of Lima,5.9
City of Toronto,Toronto,St Simon,5.9
Peel Region,Mississauga,St Teresa of Avila,5.9
City of Toronto,Toronto,St Theresa Shrine,5.9
City of Toronto,Toronto,St Thomas More,5.9
Peel Region,Mississauga,St Valentine,5.9
York Region,Newmarket,Stuart Scott,5.9
Halton Region,Burlington,Tecumseh,5.9
Peel Region,Caledon,Alloa,5.8
York Region,Stouffville,Ballantrae,5.8
Peel Region,Brampton,Eagle Plains,5.8
Peel Region,Brampton,Father C W Sullivan,5.8
York Region,Newmarket,Glen Cedar,5.8
City of Toronto,Toronto,Keele Street,5.8
Halton Region,Burlington,Lakeshore,5.8
Durham Region,Ajax,Lincoln Avenue,5.8
York Region,Thornhill,Rosedale Heights,5.8
Halton Region,Burlington,Saint-Philippe,5.8
Peel Region,Mississauga,Shelter Bay,5.8
Durham Region,Pickering,Sir John A Macdonald,5.8
Peel Region,Mississauga,St Charles Garnier,5.8
City of Toronto,Toronto,St Elizabeth,5.8
Durham Region,Ajax,St Jude,5.8
City of Toronto,Toronto,St Luke,5.8
Peel Region,Brampton,St Marguerite Bourgeoys,5.8
York Region,Woodbridge,St Peter,5.8
Peel Region,Mississauga,St Philip,5.8
Durham Region,Oshawa,Stephen G Saywell,5.8
City of Toronto,Toronto,Annunciation,5.7
Peel Region,Mississauga,Bishop Scalabrini,5.7
City of Toronto,Toronto,Blessed Kateri Tekakwitha,5.7
Peel Region,Mississauga,Blessed Teresa of Calcutta,5.7
York Region,Newmarket,Denne,5.7
Peel Region,Brampton,Dolson,5.7
Peel Region,Brampton,Georges Vanier,5.7
City of Toronto,Toronto,Lanor,5.7
Durham Region,Ajax,Lester B Pearson,5.7
City of Toronto,Toronto,Malvern,5.7
City of Toronto,Toronto,Norman Cook,5.7
City of Toronto,Toronto,Precious Blood,5.7
City of Toronto,Toronto,St Boniface,5.7
York Region,Woodbridge,St Catherine of Siena,5.7
Peel Region,Brampton,St Cecilia,5.7
City of Toronto,Toronto,St John the Evangelist,5.7
Peel Region,Mississauga,St Margaret of Scotland,5.7
City of Toronto,Toronto,Woburn,5.7
City of Toronto,Toronto,Annette Street,5.6
Peel Region,Brampton,Bishop Francis Allen,5.6
City of Toronto,Toronto,Brimwood Boulevard,5.6
Halton Region,Milton,Bruce Trail,5.6
York Region,Newmarket,Clearmeadow,5.6
City of Toronto,Toronto,du Sacré-Coeur,5.6
Halton Region,Burlington,Florence Meares,5.6
City of Toronto,Toronto,Gateway,5.6
City of Toronto,Toronto,Holy Name,5.6
Halton Region,Burlington,Holy Rosary,5.6
Peel Region,Brampton,Holy Spirit,5.6
Halton Region,Oakville,Oakwood,5.6
City of Toronto,Toronto,Regina Mundi,5.6
Peel Region,Mississauga,Riverside,5.6
Halton Region,Burlington,Sir Ernest Macmillan,5.6
City of Toronto,Toronto,St Aidan,5.6
City of Toronto,Toronto,St Augustine,5.6
City of Toronto,Toronto,St Barnabas,5.6
York Region,Woodbridge,St Clare,5.6
City of Toronto,Toronto,St Francis Xavier,5.6
Halton Region,Oakville,St James,5.6
Peel Region,Brampton,St Kevin,5.6
Peel Region,Brampton,St Lucy,5.6
City of Toronto,Toronto,St Marcellus,5.6
Peel Region,Mississauga,St Raymond,5.6
City of Toronto,Toronto,Clairlea,5.5
City of Toronto,Toronto,Faywood Arts,5.5
Peel Region,Brampton,Good Shepherd,5.5
York Region,Maple,Holy Jubilee,5.5
City of Toronto,Toronto,James Culnan,5.5
City of Toronto,Toronto,Ryerson,5.5
City of Toronto,Toronto,Shaughnessy,5.5
Peel Region,Brampton,St Aidan,5.5
Peel Region,Brampton,St Angela Merici,5.5
City of Toronto,Toronto,St Conrad,5.5
Durham Region,Ajax,St James,5.5
City of Toronto,Toronto,St Jane Frances,5.5
City of Toronto,Toronto,St Paul,5.5
Durham Region,Whitby,West Lynde,5.5
City of Toronto,Toronto,Whole Child,5.5
City of Toronto,Toronto,William G Miller,5.5
City of Toronto,Toronto,William Tredway,5.5
City of Toronto,Toronto,Anson S Taylor,5.4
Peel Region,Brampton,Aylesbury,5.4
City of Toronto,Toronto,Bowmore Road,5.4
Peel Region,Brampton,Cardinal Newman,5.4
City of Toronto,Toronto,Jesse Ketchum,5.4
City of Toronto,Toronto,Market Lane,5.4
City of Toronto,Toronto,Perth Avenue,5.4
City of Toronto,Toronto,Queen Victoria,5.4
City of Toronto,Toronto,Roden,5.4
City of Toronto,Toronto,The Elms,5.4
City of Toronto,Toronto,Valleyfield,5.4
York Region,Newmarket,Alexander Muir,5.3
Durham Region,Ajax,Bolton C Falby,5.3
City of Toronto,Toronto,Buchanan,5.3
Durham Region,Oshawa,Forest View,5.3
City of Toronto,Toronto,Highcastle,5.3
Halton Region,Burlington,Mohawk Gardens,5.3
Halton Region,Oakville,Montclair,5.3
City of Toronto,Toronto,Msgr John Corrigan,5.3
City of Toronto,Toronto,Pope Paul,5.3
City of Toronto,Toronto,Silver Springs,5.3
City of Toronto,Toronto,St Antoine Daniel,5.3
City of Toronto,Toronto,St Bede,5.3
Peel Region,Brampton,St John Fisher,5.3
Halton Region,Oakville,St Michaels,5.3
Peel Region,Brampton,Whaley's Corners,5.3
City of Toronto,Toronto,Albion Heights,5.2
York Region,Thornhill,E J Sand,5.2
City of Toronto,Toronto,Edgewood,5.2
City of Toronto,Toronto,Golf Road,5.2
City of Toronto,Toronto,John McCrae,5.2
City of Toronto,Toronto,Macklin,5.2
City of Toronto,Toronto,Our Lady of Fatima,5.2
City of Toronto,Toronto,St John Bosco,5.2
Durham Region,Whitby,St John the Evangelist,5.2
Peel Region,Mississauga,St Julia,5.2
Peel Region,Brampton,St Leonard,5.2
Peel Region,Mississauga,St Vincent de Paul,5.2
Durham Region,Whitby,Bellwood,5.1
City of Toronto,Toronto,Brock,5.1
City of Toronto,Toronto,Cordella,5.1
City of Toronto,Toronto,Laure-Rièse,5.1
City of Toronto,Toronto,Leslieville,5.1
Peel Region,Mississauga,Plowman's Park,5.1
City of Toronto,Toronto,St Anthony,5.1
City of Toronto,Toronto,St Dunstan,5.1
City of Toronto,Toronto,St Helen,5.1
City of Toronto,Toronto,St Martin de Porres,5.1
City of Toronto,Toronto,Terraview-Willowfield,5.1
Peel Region,Mississauga,Cashmere Avenue,5.0
City of Toronto,Toronto,Dorset Park,5.0
City of Toronto,Toronto,George Webster,5.0
City of Toronto,Toronto,Harwood,5.0
Peel Region,Mississauga,Mary Fix,5.0
City of Toronto,Toronto,St Gabriel,5.0
City of Toronto,Toronto,St Kevin,5.0
City of Toronto,Toronto,St Matthew,5.0
Peel Region,Mississauga,St Pio of Pietrelcina,5.0
City of Toronto,Toronto,St Wilfrid,5.0
City of Toronto,Toronto,Charles E Webster,4.9
Durham Region,Ajax,Duffin's Bay,4.9
City of Toronto,Toronto,Fairmount,4.9
Durham Region,Pickering,Glengrove,4.9
Peel Region,Mississauga,Holy Cross,4.9
City of Toronto,Toronto,Our Lady of Guadalupe Catholic,4.9
Durham Region,Oshawa,Queen Elizabeth,4.9
Durham Region,Whitby,Sir William Stephenson,4.9
City of Toronto,Toronto,St Bernard,4.9
City of Toronto,Toronto,St Charles,4.9
City of Toronto,Toronto,Tam O'Shanter,4.9
City of Toronto,Toronto,Walter Perry,4.9
City of Toronto,Toronto,Carleton Village,4.8
City of Toronto,Toronto,Elmbank,4.8
Durham Region,Pickering,Fairport Beach,4.8
City of Toronto,Toronto,Greenholme,4.8
City of Toronto,Toronto,Maison Montessori,4.8
York Region,Newmarket,Prince Charles,4.8
Halton Region,Burlington,Rolling Meadows,4.8
City of Toronto,Toronto,St Andrew,4.8
Peel Region,Mississauga,St Gerard,4.8
City of Toronto,Toronto,St Jude,4.8
City of Toronto,Toronto,Alexander Stirling,4.7
City of Toronto,Toronto,Blake Street,4.7
City of Toronto,Toronto,Church Street,4.7
Durham Region,Oshawa,Father Joseph Venini,4.7
City of Toronto,Toronto,H A Halbert,4.7
Peel Region,Mississauga,St Alfred,4.7
City of Toronto,Toronto,St Alphonsus,4.7
City of Toronto,Toronto,St Bruno Catholic,4.7
City of Toronto,Toronto,St Martha,4.7
Peel Region,Brampton,St. André Bessette,4.7
City of Toronto,Toronto,Chief Dan George,4.6
City of Toronto,Toronto,Fairbank,4.6
City of Toronto,Toronto,Grey Owl,4.6
Peel Region,Mississauga,Hillside,4.6
Peel Region,Brampton,Pauline Vanier,4.6
City of Toronto,Toronto,St Francis de Sales,4.6
City of Toronto,Toronto,St Mary,4.6
Durham Region,Oshawa,St Thomas Aquinas,4.6
City of Toronto,Toronto,General Crerar,4.5
City of Toronto,Toronto,Gledhill,4.5
Peel Region,Brampton,Guardian Angels,4.5
City of Toronto,Toronto,Pauline Johnson,4.5
City of Toronto,Toronto,Sacred Heart,4.5
Durham Region,Oshawa,St Joseph,4.5
City of Toronto,Toronto,J R Wilcox,4.4
Halton Region,Burlington,Kings Road,4.4
City of Toronto,Toronto,Lucy Maud Montgomery,4.4
City of Toronto,Toronto,Lynngate,4.4
Peel Region,Brampton,St Anthony,4.4
City of Toronto,Toronto,St Catherine,4.4
Durham Region,Whitby,St Theresa,4.4
City of Toronto,Toronto,Blessed Trinity,4.3
City of Toronto,Toronto,Essex,4.3
City of Toronto,Toronto,General Brock,4.3
York Region,Newmarket,Maple Leaf,4.3
Peel Region,Mississauga,Maple Wood,4.3
City of Toronto,Toronto,Rawlinson,4.3
Peel Region,Brampton,St Anne,4.3
City of Toronto,Toronto,St Gerald,4.3
City of Toronto,Toronto,St Nicholas of Bari,4.3
Durham Region,Oshawa,Beau Valley,4.2
City of Toronto,Toronto,Dixon Grove,4.2
City of Toronto,Toronto,Dovercourt,4.2
City of Toronto,Toronto,Kane,4.2
City of Toronto,Toronto,King Edward,4.2
City of Toronto,Toronto,St James,4.2
City of Toronto,Toronto,D'Arcy McGee,4.1
City of Toronto,Toronto,Grenoble,4.1
City of Toronto,Toronto,St Angela,4.1
Peel Region,Brampton,St Mary,4.1
Durham Region,Oshawa,Bobby Orr,4.0
City of Toronto,Toronto,Cedar Drive,4.0
City of Toronto,Toronto,Corvette,4.0
City of Toronto,Toronto,Military Trail,4.0
City of Toronto,Toronto,Portage Trail,4.0
City of Toronto,Toronto,St Barbara,4.0
City of Toronto,Toronto,Warden Avenue,4.0
City of Toronto,Toronto,Willow Park,4.0
Halton Region,Burlington,Brant Hills,3.9
Durham Region,Oshawa,Gordon B Attersley,3.9
City of Toronto,Toronto,J G Workman,3.9
City of Toronto,Toronto,Maryvale,3.9
City of Toronto,Toronto,St Albert,3.9
City of Toronto,Toronto,St Elizabeth Seton,3.9
Peel Region,Brampton,St Joseph,3.9
City of Toronto,Toronto,St Ursula,3.9
City of Toronto,Toronto,Immaculate Conception,3.8
City of Toronto,Toronto,Knob Hill,3.8
City of Toronto,Toronto,Manhattan Park,3.8
City of Toronto,Toronto,Our Lady of the Assumption,3.8
City of Toronto,Toronto,St Columba,3.8
Peel Region,Brampton,St John Bosco,3.8
Durham Region,Oshawa,David Bouchard,3.7
City of Toronto,Toronto,Galloway Road,3.7
York Region,Newmarket,Meadowbrook,3.7
City of Toronto,Toronto,Santa Maria,3.7
City of Toronto,Toronto,St Margaret's,3.7
City of Toronto,Toronto,Stella Maris,3.7
Peel Region,Brampton,Sir Winston Churchill,3.6
City of Toronto,Toronto,St Joseph,3.6
Durham Region,Oshawa,Village Union,3.5
Durham Region,Oshawa,Monsignor Philip Coffey,3.4
City of Toronto,Toronto,Our Lady of Victory,3.4
City of Toronto,Toronto,General Mercer,3.3
City of Toronto,Toronto,Nelson Mandela Park,3.3
City of Toronto,Toronto,St Stephen,3.3
City of Toronto,Toronto,Chester Le,3.2
City of Toronto,Toronto,Joseph Brant,3.2
City of Toronto,Toronto,West Hill,3.2
City of Toronto,Toronto,Holy Family,3.0
Durham Region,Pickering,Bayview Heights,2.9
City of Toronto,Toronto,Parkdale,2.8
City of Toronto,Toronto,St Charles Garnier,2.8
Durham Region,Oshawa,Glen Street,2.7
Durham Region,Oshawa,Hillsdale,2.7
City of Toronto,Toronto,Epiphany of our Lord,2.5
City of Toronto,Toronto,St Dorothy,2.5
City of Toronto,Toronto,St Roch,2.5
City of Toronto,Toronto,Eastview,2.3
Durham Region,Oshawa,Woodcrest,2.3
City of Toronto,Toronto,Ionview,2.0
City of Toronto,Toronto,R J Lang,1.9
City of Toronto,Toronto,Highland Heights,1.8
City of Toronto,Toronto,First Nations School of Toronto,1.6
City of Toronto,Toronto,F H Miller,0.7
